"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"rm_na_accD",0.00504125000000006,0.00387050999999996,0.00487168999999996,0.00218622,0.01296237,0.0863361899999998,0.00759756999999999,0.0412188700000003,0.02171329,0.0261905499999998,0.0232239799999998,0.04207371,0.0153619,0.17177794,0.00186747999999999,0.00246903999999998,0.0120748700000001,0.0292236699999999,0.0161523700000001,0.03495165,0.02695002,0.1572564,0.0541049899999998,0.00783368000000005
"rm_na_atpA",0.0112170399999999,0.00104608000000001,0.00650856999999999,0.00715848000000006,0.0107762199999999,0.0698915499999996,0.00870183000000009,0.01653432,0.0179803299999998,0.0338033400000002,0.0153430699999999,0.0394260199999997,0.0162007600000001,0.0658980699999994,0.00248431,0.00458277000000004,0.00702468999999997,0.0237682600000001,0.0333583799999998,0.0372001800000003,0.0348866400000003,0.098672700000001,0.0394409699999999,0.0174303600000002
"rm_na_atpB",0.00835008000000008,0.000327849999999997,0.00674334000000004,0.00179119999999998,0.00515456,0.0656741000000002,0.01130507,0.0253640499999999,0.0176364999999998,0.0381130400000003,0.0191746700000002,0.0294492099999998,0.0191869400000002,0.0707280999999993,0.00200409,0.00276584000000001,0.00852092000000004,0.00875949999999992,0.0221049099999999,0.0331383699999997,0.0284549899999999,0.0574670000000001,0.0422464799999995,0.0129753300000001
"rm_na_atpE",0.00742884,0.00586169000000001,0.00292007999999997,5.89999999999995e-07,0.0199038500000001,0.03763767,0.0191948500000001,0.0133235600000001,0.0183631000000001,0.01501075,0.0235329000000002,0.0106170600000001,0.0351942500000001,0.0730069499999995,0.000687719999999993,0.00192498000000001,0.00845626000000008,0.00996139999999992,0.0126759399999999,0.0257369299999998,0.0190325300000002,0.089516600000001,0.0404264699999997,0.0115438000000001
"rm_na_atpF",0.01629349,2.29999999999999e-07,0.00290493999999999,0.00195010000000002,0.0192897499999998,0.0841950599999992,0.0251320399999998,0.02018814,0.0163366500000001,0.02133713,0.0246081299999999,0.0387479300000003,0.0211158400000001,0.11167125,0.00399408,0.00964793000000007,0.0221558299999999,0.0144298600000001,0.02158678,0.0487744399999995,0.0268991600000002,0.0523412100000003,0.0481943399999996,0.0253187399999998
"rm_na_atpH",0.0108261400000001,0.00956056000000006,0.00866337999999999,5.80000000000004e-07,0.0243446100000002,0.0504489700000005,0.00436614999999995,0.0106128900000001,0.0405101400000001,0.0323824299999999,7.00000000000004e-07,0.0400538700000004,0.0120574400000001,0.05320752,1.37000000000001e-06,0.00591402999999996,0.0100658699999999,0.01227919,0.01490278,0.0368766899999998,0.0237639100000001,0.02028169,0.04765155,0.0168229300000001
"rm_na_atpI",0.0096829600000001,4.70000000000002e-07,0.00832813000000004,0.0114464999999999,0.00598418999999999,0.0618984099999998,0.01803844,0.0136830600000001,0.0316709199999999,0.02915204,0.0198628800000001,0.0334638599999997,0.0135631,0.0664079099999995,2.29999999999999e-07,0.0142751699999999,0.00621239999999999,0.0164907899999999,0.0156015700000001,0.0319592399999999,0.0265921,0.0328080600000001,0.0484945300000001,0.01504653
"rm_na_ccsA",0.0188720599999999,0.00192786000000001,0.00889613000000009,0.01354841,0.0208877400000002,0.14979028,0.0209394200000002,0.0336455199999997,0.0300145899999999,0.0359395899999999,0.0619453600000001,0.0593288899999994,0.0380142699999996,0.13319886,0.00863279000000007,0.00328020999999997,0.0174474600000001,0.0271083599999999,0.0400308199999998,0.0471722900000002,0.0502179100000004,0.13382556,0.0983717799999996,0.0293256399999999
"rm_na_cemA",0.0102700400000001,0.00156675000000001,0.00122374,0.00629977999999993,0.02779922,0.0909153900000005,0.01688576,0.00308728999999999,0.0195840899999999,0.02034012,0.0390248700000002,0.0553177299999998,0.0201656200000002,0.0908261299999994,0.00394897,0.00405672000000004,0.01696221,0.0160831600000001,0.02423046,0.0204827199999998,0.0650864800000004,0.0416684399999996,0.0760261600000004,0.0159587999999999
"rm_na_clpP",0.0109291,5.89999999999995e-07,0.00201152000000001,0.00441544999999998,0.00327710999999999,0.0413428499999996,0.0147293900000001,0.0087788799999999,0.0251569900000003,0.0444866099999997,0.0536273600000003,0.0682293500000007,0.0303576299999997,1.0493329,0.00187357999999999,0.00792963999999993,0.00550169000000003,0.01944205,0.0154553999999998,0.0268145999999997,0.0234556700000001,0.10174636,0.12813839,0.01698293
