"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"rm_na_accD",0.0092892000000001,0.00655822999999995,0.0198994099999999,0.00282358000000003,0.00345461,0.00895193999999991,0.0105565100000001,0.10510688,0.0200577100000001,0.0656115999999999,0.1961541,0.0167725300000001,0.0285669500000001,0.01467483,0.00487416000000003,0.0410611600000004,0.04961383,0.0469543300000002,0.00233018999999999,0.03628319,0.0604867799999997,0.01749946,0.00406655,0.00414106999999995,0.000235409999999999,0.0144708800000001,0.0611177899999997,0.0876187999999995
"rm_na_atpA",0.00748809000000001,0.00530258999999994,0.0158285200000001,1.60000000000002e-07,0.00903683999999998,0.00612956000000005,0.0199513500000001,0.0847862200000002,0.0177799799999999,0.0523676000000006,0.0692436800000003,0.0211147399999998,0.0133399099999999,0.00834548000000008,0.00695547999999999,0.0294547600000003,0.0516944400000003,0.0579263400000002,0.0199460100000001,0.0395930700000001,0.04021516,0.01288852,0.00222945000000001,0.00398425000000003,0.00036952,0.0270125300000003,0.0235924199999999,0.07063015
"rm_na_atpB",0.00601605999999999,0.00242600999999999,0.02064059,1e-07,0.00828386,0.00582811999999997,0.00653995999999998,0.0777304399999999,0.0181449200000001,0.0525478099999999,0.0719837499999995,0.01350009,0.0127011600000001,0.00963279000000001,0.00312840999999999,0.0339477899999997,0.0407410799999995,0.0486133799999998,0.00469893000000004,0.0504661900000003,0.0528173900000002,0.00646254000000006,0.00277677,0.00650437999999997,0.00557358,0.01600195,0.0153530699999998,0.0567455100000005
"rm_na_atpE",0.00727300999999994,0.0100875000000001,0.0238724599999998,0.00137122999999999,0.00230849,0.00473064000000003,0.0192428800000001,0.0612072299999993,0.0184527999999999,0.0311531300000001,0.07476327,0.0197402800000002,0.0171129699999998,2e-07,0.00071304,0.0521556800000001,0.0579271099999994,0.0579146700000003,0.00474404999999996,0.0441300299999997,0.0868000100000009,0.02292154,0.00210277000000002,0.00964669000000004,0.00465654999999999,0.0194878200000001,0.00992808000000005,0.0686014200000001
"rm_na_atpF",0.00748964999999998,0.00438743999999997,0.01022063,3.20000000000003e-07,1.60000000000002e-07,1.13e-06,0.0242279499999999,0.1058198,0.0268211099999999,0.0606972199999998,0.12224514,0.0372225500000004,0.0126687499999999,0.0115140900000001,1.60000000000002e-07,0.0488929299999999,0.0603201999999998,0.04208038,0.0108072299999999,0.0682623100000002,0.0562565999999995,0.0221220499999998,0.00480776000000005,0.0151035799999999,0.00164067999999998,0.0223308800000001,0.01620945,0.0706448500000004
"rm_na_atpH",0.00216561000000002,0.00753118000000002,0.0306463000000001,3.20000000000003e-07,0.00350800999999996,0.0117219099999999,0.03033045,0.0496820800000002,0.03673578,0.0206439999999998,0.04043972,0.0321025400000002,0.00863219000000003,0.01786044,0.00141696999999999,0.0283185,0.0216602600000001,0.02637545,0.00921191000000005,0.00588037000000005,0.00296805000000002,0.0149014299999999,7.30000000000007e-07,0.0086765700000001,4.40000000000002e-07,0.00860802000000002,0.0273899800000002,0.0204267399999998
"rm_na_atpI",0.00432018999999995,0.00563364999999996,0.0134301800000001,0.00143956000000001,0.01228985,0.00767447000000006,0.0177859799999999,0.0813938400000004,0.0314695300000001,0.0493739900000001,0.0657463899999999,0.01232597,0.02704781,0.00611537000000006,3.93700000000001e-05,0.0332507599999999,0.0391199000000003,0.0333282700000001,0.00589838000000005,0.0341391499999999,0.0300907800000001,0.01025876,0.0026301,0.00676104999999998,5.084e-05,0.01582405,0.0166285299999999,0.0407494499999996
"rm_na_ccsA",0.0182425000000002,0.00981646,0.0220244700000002,0.00471437000000001,0.01047606,0.00938799999999989,0.04109796,0.17397331,0.0283034499999997,0.12427755,0.13256844,0.0352754600000002,0.0437105399999997,0.0171575400000002,2.02999999999999e-06,0.0867240400000004,0.10652408,0.1536008,0.0129250499999999,0.11106649,0.0775094399999991,0.01666141,0.00617117000000001,0.00434844000000001,0.0114173499999999,0.0448713200000005,0.0373120299999997,0.17206931
"rm_na_cemA",0.0131238200000002,0.00730100999999995,0.0213059199999998,1.30000000000001e-07,0.00828603000000007,2.01000000000001e-06,0.0355696099999999,0.10410629,0.0185637200000001,0.1012545,0.0855247900000008,0.0182840599999999,0.0229308399999998,0.0108460800000001,1.60000000000002e-07,0.16096147,0.0459527500000004,0.0699350400000004,0.00372112999999997,0.04058688,0.0783974400000001,0.0116684299999999,0.00278056999999999,0.00577845999999995,0.0021408,0.0295873500000003,0.0188631500000001,0.12378821
"rm_na_clpP",0.00318262999999997,0.00355441000000002,0.0229375700000001,2e-07,2.60000000000001e-07,3.09999999999998e-07,0.00706231999999997,0.0554342699999997,0.0222175199999999,0.11240533,0.93224289,0.0307305199999999,0.0144951099999999,0.00674703000000006,3.02e-06,0.21527636,0.01152388,0.0305896799999998,7.30000000000007e-07,0.0537875100000005,0.0377603000000001,0.0139439200000001,2.20000000000002e-07,0.00354425999999996,0.00394059999999999,0.0181154400000002,0.00365709999999998,0.0300196
